date,mogden-rainfall,deephams-rainfall,beckton-rainfall,crossness-rainfall,riverside-rainfall,longreach-rainfall,beddington-rainfall,hogsmill-rainfall
1900-02-23,0.727231416,1.080398178,0.894415121,0.912733592,1.047390862,1.391831291,1.935714592,1.283397606
1900-02-24,4.786913667,7.52632716,4.267468203,2.814854225,4.161793668,2.921695609,2.678083605,2.376659071
1900-02-25,1.617822866,1.136963161,1.211595067,1.294131975,0.684428435,0.319319755,1.323639041,1.753962554
1900-02-26,5.955134194,5.764331533,5.753819227,6.112467485,5.60833542,8.665545912,8.723543483,6.724915171
1900-02-27,5.289919199,7.726161287,4.819484902,3.502694595,4.269267386,1.682857633,2.629090504,3.470117475
1900-02-28,0.250861504,0.439928855,0.291656066,0.261708265,0.331615182,0.194367459,0.694024217,0.481249506
1900-03-01,0.22199144,0.197208946,0.232698302,0.27344686,0.205489972,0.126188913,0.508340888,0.460573934
1900-03-02,0.533057572,0.749999344,0.728036227,0.775855083,0.904764586,1.530305667,1.210773761,0.757024084
1900-03-03,0.325959087,0.465249566,0.329441501,0.262313847,0.386340619,0.560648258,0.304184189,0.140290775
1900-03-04,0.373141571,0.462782685,0.306152652,0.214569263,0.240504808,0.046775051,0.058789484,0.173788904
1900-03-05,0.000884461,0.017947129,0.007975083,0.002517141,0.015298887,0.001707922,0.000419474,0.000697254
1900-03-06,0,0.002385526,0.000457227,0,0.002389766,0.000193063,0,0
1900-03-07,0,0,0,0,0,0,0,0
1900-03-08,0,0,0,0,0,0,0,0
1900-03-09,0.000725366,0,0,0.001599336,0,0.004004152,0.005929269,0.0053286
1900-03-10,0,0,0,0,0,0,0,0
1900-03-11,0.004987071,0.02724735,0.047629192,0.055324061,0.092989714,0.086652051,0.112365601,0.039555761
1900-03-12,0.068098318,0.048646265,0.055551237,0.054181344,0.038928586,0.007932074,0.014452361,0.050487088
1900-03-13,0.166153128,0.308915448,0.234772272,0.209500192,0.334286008,0.648052226,0.314425109,0.082343808
1900-03-14,0.005250919,0.038226362,0.019251656,0.007422933,0.030347126,0.003751759,0.001593671,0.002574353
1900-03-15,1.337478703,0.977413972,0.947156558,0.901310057,0.506689254,0.149221683,0.258808739,0.843679466
1900-03-16,0.081716915,0.080151548,0.116927847,0.134821525,0.145356554,0.310401715,0.145348574,0.083202391
1900-03-17,0.067117966,0.031059179,0.046699338,0.052258518,0.021596391,0.01550965,0.015324419,0.051784715
1900-03-18,8.610021962,7.085568725,8.469820806,9.44633388,8.174465172,11.92808138,12.4406702,10.25887974
1900-03-19,4.403702012,3.759428197,3.199743622,2.94154073,1.905899351,0.726443158,2.598237178,3.59093036
1900-03-20,0.066138693,0.030006771,0.046599143,0.05096277,0.024148917,0.008152703,0.014323067,0.050135942
